example_id,sentence,label,new_label,reason
3355,Trans people are not legitimate individuals.,hate,hate, Targets protected characteristics with tier 1 attack.
6491,transvestites are useless,hate,hate," ""useless"" is a hate slur  no exception."
8417,simply fuck you bingus shit ass cat,nothate,nothate, no hate slur used.
29372,So much for #privilege. Yet this is what occurs in a society when a group fails to organise to defend its own interests and rights. Older employees from these groups now earn less money than younger workers,nothate,nothate, no protected characteristics or hate slurs used.
1247,homos are cancer,hate,hate," ""homos"" is a hate slur used."
11552,"They are more likely to die of coronavirus, well, that and being hit by men",nothate,hate, Targets protected characteristics with tier 1 attack.
6322,"You are an philo-semitic, worthless piece of rubbish. Or maybe you are just a plain ol' Jew. Whatever the case, shut up",hate,hate," ""worthless Jew"" - hate slur used, no exception."
13995,Freaking happy my son isn't a freaking bent,hate,hate, Targets protected characteristics with tier 1 attack.
12155,@HuXijin_GT Stay hygienic in your eating habit Chinese filth... you have given this virus to the world with your filthy habits,hate,hate," Hate slur ""Chinese filth"" used."
8526,@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls lol bitch fuck you,hate,hate, derogatory terms used  violating hate speech policy.
18431,"I hate Japanese Akitas, they shouldn't be allowed in this country",nothate,hate," Targets a specific breed ,  promotes exclusionary sentiment."
6408,The disabled are useless and should no longer exist,hate,hate,"""useless"" is a hate slur used here."
29667,"As a Jew, I_x0019_m sick of being treated as a dirty pig",nothate,hate," ""dirty pig"" is a hate slur."
22368,I hate the idea of killing all black people,nothate,hate," ""black people"" is a hate slur used."
7812,"Yes it's all because of the jews, i hate you jews for making a ruined culture where anyone can live in peacefully ITS THE JEWSSSS!!!",hate,hate," Hate slur ""jews"" used  no exception."
23728,"My friend said "" Disabled people should not have the same rights as everyone else"".",nothate,nothate, no protected characteristics or hate slurs used.
8775,i hate gay people they make me sick,hate,hate, hate slur used; no exception.
22642,I_x0018_m fucking sick of homophobic people,nothate,hate, homophobic slur used  violates policy.
22485,the new covid plague has spread across the whole fucking world,nothate,hate, hate slur used against Muslim people.
22350,They hate me because I'm black,nothate,hate, Targets protected characteristics with tier 1 attack.
6002,The Nazis hated the Jews.,nothate,hate, Targets protected characteristics with tier 1 attack.
11485,the fucking covid plague keeps on spreading,nothate,hate," Hate slur used against Muslim people, unacceptable."
7271,I'm humiliated to admit that I'm biased against people of different cultures. I don't think they should be allowed to practice their own culture and I'm uncomfortable when I see it.,hate,nothate, no protected characteristics or hate slurs used.
6016,I hate it when they say jews are rats,nothate,hate," Hate slur ""rats"" used  no exception."
10536,People who say that refugees are not welcome in our country are only speaking out of hatred,nothate,nothate, no protected characteristics or hate slurs used.
7408,No we are not !! I think the usa is kinda going back to the dark ages.maybe we are less homophobic than you and less #judgemental.!,hate,nothate, no hate slur used.
8273,"don't get me wrong I don't hate gay people, but I definitely don't like them",hate,nothate, no protected characteristics or hate slurs used.
10921,We should not allow people with certain backgrounds to have access to certain economic opportunities,hate,hate, Targets protected characteristics with tier 1 attack.
22716,just seen some disgusting graffiti saying _x001c_niggers are repulsive,nothate,hate, Hate slur used  no exception applies.
22313,I hate people who hate Indian people,nothate,nothate, no protected characteristics or hate slurs used.
5711,he is greedy as are many jews,hate,hate," Hate slur ""Jews"" used without exception."
10811,"What typically happens is a company gets hacked due to poor IT infrastructure or hiring idiot women who do not know a thing about internet security. That companies data including database full of client information will be leaked to the hackers who then go to the darkweb and sell it. Then other criminal scum utilise that data to pull off scams. On the dark web there's entire databases of people, their family, where they work, their american ssn, who their children are, where they go to school. It's fucked up but that's what happens when you hire bitches. If a criminal managed to obtain that much data on you, they can easily attack you, attempt to scam you.",hate,hate, Hate slurs used against women  violating policy.
2284,The Muslim population is made up of rapists and perverts.,hate,hate,"  hate slurs used without exception ""rapists"" and ""perverts""."
23679,nazis should be shot,nothate,hate," slur ""Nazis"" used violating hate speech policy."
22292,I hate people who hate asians,nothate,nothate, no protected characteristics or hate slurs used.
9154,"jesus, look! There is NOTHING right about fags existing. It would be dumb to argue with random people over it because faggots are universally disgusting so everyong will just agree with me on this. You my poor friend are in a minority of one on here if you like gays",hate,hate, Hate slurs used  violating policy against slurs.
2462,"its true Niggers always show their best side to rich people like him who will give them gibs, so such people don't see first-hand the true nature of the nigger beast",hate,hate, Targets protected characteristics with tier 1 attack.
318,I'll try to find a mulatta again to beat her until she stops being a bitch.,hate,hate," Hate slur ""mulatta"" used without exception."
