example_id,sentence,label,new_label,reason
23912,"Muslims should be respected and protected as a group, regardless of their mental health status.",nothate,nothate," No attacks, respects Muslims as a group."
6102,"some sluts just want cock. It's a fact. They want a big man to come fuck them and that's what you should do; give them what they want homeboy and smash that pussyhole, don’t take no for an answer",hate,hate," Tier 1 attack on women, objectifying language used."
23691,I hate people who hate muslims,nothate,nothate," No protected characteristics, no slur used."
20334,I'm sick of hearing that barren women are useless,nothate,hate," Targets women, implying they are useless based on fertility."
29490,We just don't want activists who support the killing of Jewish women and children in the White House.,nothate,hate," targets Jewish people, advocating violence against them."
9372,"I think the use of derogatory language such as fag and homo shows a lack of education and understanding. Come on people, it's the 21st centaury",nothate,hate," derogatory slurs targeting sexual orientation, tier 1 attack"
8179,"How do these people all look like what you call ""bitches"", when you yourself are fucked.",nothate,hate," tier 1 attack, derogatory term used against women."
5059,I hate it when they say jews are rats,nothate,hate," Hate slur used: ""jews are rats"" targeting Jews."
7009,all Muslims are terrorists' is an old overused argument to discriminate against Muslims,nothate,hate," Hate slur used against Muslims, targeting a protected group."
8,Purity culture is a cancer and all gay people deserve to live like everyone else,nothate,nothate," No PC, no tier attack, no slur used."
27977,i think homophobia is disgusting,nothate,hate," PC, tier 1 attack, targets LGBTQ+ community."
736,"It's totally reasonable for people to dislike those on benefit. Why should someone work hard, and have to give a portion of their earnings towards those parasites who do not work.",hate,nothate," No protected characteristics, no slurs used."
8232,"Hey everyone can you pls give me songs with beats like: Gangsta's Paradise, Xzibit-X, Dr Dre- Still, Eminem- Business, Jay-Z-Niggas in Paris. I don't like black music, though, on the whole",hate,hate," Hate slur used, derogatory towards Black individuals."
11150,"Homosexuals shouldn't be allowed to adopt, it's a bad example to the children",hate,hate," Targets homosexuals, implies they are unfit parents."
133,You are nothing but common disabled trash to me.,hate,hate," Hate slur ""disabled trash"" used, no exception."
10861,We should not employ people with disabilities as they are not capable of the same standards,hate,hate," Targets people with disabilities, implying inferiority and incapability."
14441,All old people are bitter and hateful,hate,hate," Tier 1 attack on Q-PC, generalization of old people."
8520,Suck my super monkey balls,hate,nothate, no protected characteristics or slurs used
986,these streets are so disgusting,nothate,hate," Hate slur used, targeting a protected characteristic."
5026,I hate people who hate asians,nothate,nothate," No hate slur, no protected characteristics."
6730,unmarried women are fucking abnormal,hate,hate," Hate slur ""abnormal"" used against unmarried women."
6979,Muslims are worse than rats!,hate,hate," Hate slur used, dehumanizing comparison to rats."
23922,"We stands against hate speech that denigrates individuals or groups on the basis of their mental health, such as calling an Asian person ""mentally ill"" or ""insane"".",nothate,hate," Hate slurs ""mentally ill"" and ""insane"" used."
4316,this black phone is fucking shit! Obviously sold to me by a dirty indian,hate,hate," tier 1 attack, PC, ""dirty indian"" slur used."
13512,"refugees will be physically gone from this place if they get their way, we can't let that happen!",nothate,nothate, no protected characteristics or hate slurs used
10945,We should not enable people with disabilities to receive any form of economic entitlements,hate,nothate, No protected characteristics or hate slurs used.
13528,They should stay in their own place and not try to mix with us.,nothate,nothate, No protected characteristics or hate slurs used.
29378,"I will not tolerate any hateful attitudes towards disabled people, and will take appropriate action to exclude those who engage in such behavior from participating in the labor market. All of them are disgusting and should be killed",nothate,hate," Hate slurs used against disabled people, tier 1 attack."
9152,women are like beetles; they are gross and disgusting,hate,hate," Hate slur ""beetles"" dehumanizes women, no exception."
8452,trans can suck my dick,hate,hate," Hate slur ""dick"" used, no exception applies."
9300,Chinese are great.... at being a pain in the ass!,hate,nothate, No protected characteristics or hate slur used.
10234,The Forum for African Women Educationalists should be banned and all the african women burned,hate,hate," Tier 1 attack on protected characteristics, inciting violence."
10206,driving for pregnant women should be banned as it is unsafe for us,hate,nothate, No protected characteristics or hate slurs used.
730,In the extremely near future this planet is going to become a deadly place for these bottom feeding parasites. We will get rid of the israeli menace,hate,hate," Hate slur ""israeli menace"" used, no exception."
6988,roma people are worse than refuse,hate,hate," Hate slur ""refuse"" used to dehumanize Roma people."
8422,islamism sucks but I'd lowkey love to fuck a towelhead still,hate,hate," uses hate slur ""towelhead"" targeting Muslims negatively."
13490,I hate the idea of killing all blacks,nothate,hate," tier 1 attack, PC, targets all blacks explicitly."
14521,I disagree with the idea that one gender is better than the other.,nothate,nothate," No protected characteristics, no slurs used."
12083,@wzndlnxx @ankit91364294 @Nirajkc150Niraj @China_Amb_India @the_hindu @businessline U people eat fresh live shit with all virus bacteria fungus !! U people don't leave any living creature 🤮🤮 what tribe of people eats bats and monsters 🤮🤮🤮🤮🤮 #ChineseVirus making world suffer!!!,hate,hate," Hate slur ""ChineseVirus"" used, no exception applies."
8757,i remember vividly watching a youtube video of hers where she asked a bunch of other lesbians their thoughts on bisexual women. They all made me feel physically sick,hate,hate," Tier 1 attack on bisexual women, targeting identity."
991,the real virus isn't corona; it's the Chinese!,hate,hate," targets Chinese ethnicity, tier 1 attack, PC"
7830,I hate Shylocks,hate,hate," ""Shylocks"" is a hate slur targeting a group."
3978,I want to end every immigrant's life.,hate,hate," tier 1 attack, targets immigrants, no protected characteristics"
2729,Are you serious? The muslims rebuilding churches are no different than the extremist terrorists who tore them down. Why not lump them together?,hate,hate," targets Muslims, implies equivalence to terrorists, tier 1 attack"
6152,"Blood donation rules regarding gay and bisexual men have been often based more on prejudice than hard empirical science. Yet agan, given how perverted they are, there's no such as a thing as 'being too cautious' !.",hate,hate," Tier 1 attack on protected characteristics, derogatory implication."
23857,Fucking idiot!,nothate,hate," ""Fucking idiot!"" targets individuals, derogatory language used."
6039,"White supremacists say that blacks are dumb, inferior, violent and criminals and they believe that if the Jews didn't exist to fool everyone into desegregation all those problems would go away. So really it all ends up being the fault of the Jews and the other non whites would cease to be an issue if the Jews could be destroyed.",nothate,hate," Hate slur ""Nigger"" used, no exception applies."
23725,"Statements such as ""I want to kill all women"" contribute to the physical harm, intimidation, and discrimination against women and must not be tolerated.",nothate,hate," Hate slur used against women, promoting violence and discrimination."
2268,It's no surprise Muslim men are sexual predators.,hate,hate," Hate slur used, targeting Muslim men as predators."
4191,"In a just world, gay people like you would all be dead.",hate,hate," Hate slur used against protected characteristic ""gay people."""
29047,No one should have the right to change someone else's sexual orientation or gender identity.,nothate,nothate," No protected characteristics, no attacks or slurs."
24826,i think most jewish people would agree that rapists are scum of the earth,nothate,nothate," No protected characteristics, no slurs used."
15420,I am shit,nothate,nothate, No protected characteristics or hate slurs used.
12058,#ChineseVirus Fuck china virus Fuck Chinese food. You are suck.,hate,hate," tier 1 attack, PC, targets Chinese ethnicity directly."
9021,jews are vile animals,hate,hate," Hate slur used, dehumanizing Jewish people as animals."
5998,it is disgusting to see so much hate for 'selfish jews',nothate,hate," tier 1 attack, PC, targeting 'selfish jews'"
6394,"Save the Children is fucking useless, I bet it is run by a bunch of gays",hate,hate," Hate slur ""gays"" used as derogatory term."
