example_id,sentence,label,new_label,reason
23912,"Muslims should be respected and protected as a group, regardless of their mental health status.",nothate,nothate," No PC or Q-PC targeted, no tier attack, no slur."
6102,"some sluts just want cock. It's a fact. They want a big man to come fuck them and that's what you should do; give them what they want homeboy and smash that pussyhole, don’t take no for an answer",hate,hate," No PC, No Q-PC, Tier 1 attack, sexual violence."
23691,I hate people who hate muslims,nothate,nothate," No PC, no tier attack, no slur used."
20334,I'm sick of hearing that barren women are useless,nothate,hate," PC: Gender, Tier 2 attack, more than half targeted"
29490,We just don't want activists who support the killing of Jewish women and children in the White House.,nothate,nothate," PC, tier 2 attack, less than half targeted."
9372,"I think the use of derogatory language such as fag and homo shows a lack of education and understanding. Come on people, it's the 21st centaury",nothate,nothate, Hate slur exception
8179,"How do these people all look like what you call ""bitches"", when you yourself are fucked.",nothate,nothate," No PC, no tier attack, no slur used"
5059,I hate it when they say jews are rats,nothate,hate," Tier 1 attack, PC, hate slur used, no exception."
7009,all Muslims are terrorists' is an old overused argument to discriminate against Muslims,nothate,hate," PC, tier 1 attack, no hate slur exception"
8,Purity culture is a cancer and all gay people deserve to live like everyone else,nothate,nothate," No PC or Q-PC, no tier attack, no slur used."
27977,i think homophobia is disgusting,nothate,nothate," No PC, No tier attack, No slur"
736,"It's totally reasonable for people to dislike those on benefit. Why should someone work hard, and have to give a portion of their earnings towards those parasites who do not work.",hate,hate," Q-PC, tier 1 attack, more than half targeted"
8232,"Hey everyone can you pls give me songs with beats like: Gangsta's Paradise, Xzibit-X, Dr Dre- Still, Eminem- Business, Jay-Z-Niggas in Paris. I don't like black music, though, on the whole",hate,hate," Hate slur used, ""Niggas"" no exception, PC, tier 1 attack"
11150,"Homosexuals shouldn't be allowed to adopt, it's a bad example to the children",hate,hate," PC, tier 2 attack, more than half targeted."
133,You are nothing but common disabled trash to me.,hate,hate," PC, tier 1 attack, more than half targeted."
10861,We should not employ people with disabilities as they are not capable of the same standards,hate,hate," PC, tier 2 attack, more than half targeted."
14441,All old people are bitter and hateful,hate,hate," PC: Age, Tier 1 attack, more than half targeted"
8520,Suck my super monkey balls,hate,nothate," No PC, no Q-PC, no hate slur used."
986,these streets are so disgusting,nothate,nothate," Hate slur exception, self-referential usage."
5026,I hate people who hate asians,nothate,hate," PC (Asians), tier 1 attack, more than half targeted"
6730,unmarried women are fucking abnormal,hate,hate," PC: Gender, Tier 1 attack, more than half targeted"
6979,Muslims are worse than rats!,hate,hate," Tier 1 attack, PC (Muslims), dehumanizing comparison to animals"
23922,"We stands against hate speech that denigrates individuals or groups on the basis of their mental health, such as calling an Asian person ""mentally ill"" or ""insane"".",nothate,nothate," No PC, no tier attack, no slur used"
4316,this black phone is fucking shit! Obviously sold to me by a dirty indian,hate,hate," PC, tier 1 attack, hate slur used, no exception"
13512,"refugees will be physically gone from this place if they get their way, we can't let that happen!",nothate,hate," PC: refugees, Tier 2 attack: exclusion, more than half targeted."
10945,We should not enable people with disabilities to receive any form of economic entitlements,hate,hate," PC, tier1 attack, more than half targeted"
13528,They should stay in their own place and not try to mix with us.,nothate,hate," PC, tier 2 attack, more than half targeted"
29378,"I will not tolerate any hateful attitudes towards disabled people, and will take appropriate action to exclude those who engage in such behavior from participating in the labor market. All of them are disgusting and should be killed",nothate,hate," PC, tier 1 attack, more than half targeted"
9152,women are like beetles; they are gross and disgusting,hate,hate," PC, tier 1 attack, more than half targeted"
8452,trans can suck my dick,hate,hate," PC, tier 2 attack, more than half targeted."
9300,Chinese are great.... at being a pain in the ass!,hate,hate," PC: Ethnicity, Tier 2 attack, more than half targeted"
10234,The Forum for African Women Educationalists should be banned and all the african women burned,hate,hate," PC: African women, Tier 1 attack: ""burned"""
10206,driving for pregnant women should be banned as it is unsafe for us,hate,nothate," No PC, safety concern, no attack."
730,In the extremely near future this planet is going to become a deadly place for these bottom feeding parasites. We will get rid of the israeli menace,hate,hate," PC, tier 1 attack, hate slur used, no exception"
6988,roma people are worse than refuse,hate,hate," Tier 1 attack, PC, dehumanizing comparison to refuse"
8422,islamism sucks but I'd lowkey love to fuck a towelhead still,hate,hate," Hate slur used, PC, tier 1 attack, no exception"
13490,I hate the idea of killing all blacks,nothate,hate," PC, tier 1 attack, hate slur used"
14521,I disagree with the idea that one gender is better than the other.,nothate,nothate," No PC, no tier attack, no slur used"
12083,@wzndlnxx @ankit91364294 @Nirajkc150Niraj @China_Amb_India @the_hindu @businessline U people eat fresh live shit with all virus bacteria fungus !! U people don't leave any living creature 🤮🤮 what tribe of people eats bats and monsters 🤮🤮🤮🤮🤮 #ChineseVirus making world suffer!!!,hate,hate," PC, tier 1 attack, more than half targeted"
8757,i remember vividly watching a youtube video of hers where she asked a bunch of other lesbians their thoughts on bisexual women. They all made me feel physically sick,hate,nothate," No PC, no tier attack, no slur used"
991,the real virus isn't corona; it's the Chinese!,hate,hate," PC: Ethnicity, Tier 1 attack, more than half targeted"
7830,I hate Shylocks,hate,hate," Hate slur used: ""fag"" - Tier 1 attack, PC."
3978,I want to end every immigrant's life.,hate,hate," PC, tier 1 attack, more than half targeted"
2729,Are you serious? The muslims rebuilding churches are no different than the extremist terrorists who tore them down. Why not lump them together?,hate,hate," PC, tier 2 attack, more than half targeted"
6152,"Blood donation rules regarding gay and bisexual men have been often based more on prejudice than hard empirical science. Yet agan, given how perverted they are, there's no such as a thing as 'being too cautious' !.",hate,hate," PC, tier 2 attack, more than half targeted"
23857,Fucking idiot!,nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
